english,japanese
road,道路
airport,空港
station,駅
bank,銀行
shop,店
market,市場
supermarket,スーパーマーケット
restaurant,レストラン
cafe,カフェ
hotel,ホテル
cinema,映画館
theatre,劇場
museum,博物館
library,図書館
park,公園
gym,ジム
club,クラブ
here,ここに
there,そこに
near,の近くに
next to,の隣に
opposite,の向かいに
behind,の後ろに
in front of,の前に
between,の間に
left,左
right,右
north,北
south,南
east,東
west,西
go,行く
come,来る
arrive,到着する
leave,去る
travel,旅行
trip,旅行
journey,旅
holiday,休日
vacation,休暇
visit,訪問
visitor,訪問者
tourist,観光客
world,世界
country,国
city,都市
town,町
village,村
area,地域
mountain,山
river,川
sea,海
beach,ビーチ
island,島
farm,農場
land,土地
tree,木
flower,花
garden,庭
weather,天気
sun,太陽
rain,雨
snow,雪
air,空気
hot,暑い
warm,暖かい
cool,涼しい
animal,動物
cat,猫
dog,犬
horse,馬
cow,牛
pig,豚
sheep,羊
bird,鳥
elephant,象
lion,ライオン
snake,ヘビ
mouse,マウス
sport,スポーツ
game,ゲーム
football,サッカー
tennis,テニス
swimming,水泳
swim,泳ぐ
ball,ボール
play,遊び
music,音楽
song,歌
sing,歌う
dancing,ダンス
dance,ダンス
guitar,ギター
piano,ピアノ
art,芸術
film,映画
movie,映画
show,ショー
programme,番組
concert,コンサート
party,パーティー
festival,祭り
fun,楽しみ
funny,面白い
enjoy,楽しむ
interesting,面白い
exciting,興奮させる
boring,退屈な
money,お金
dollar,ドル
euro,ユーロ
pound,ポンド
cent,セント
price,価格
cost,費用
pay,支払う
expensive,高い
cheap,安い
free,無料の
buy,買う
sell,売る
shopping,買い物
product,製品
be,である
have,持つ
do,する
get,得る
make,作る
take,取る
give,与える
put,置く
see,見る
look,見る
hear,聞く
listen,聞く
say,言う
tell,言う
talk,話す
speak,話す
ask,尋ねる
answer,答える
think,考える
know,知る
understand,理解する
remember,覚えている
forget,忘れる
believe,信じる
good,良い
bad,悪い
great,素晴らしい
best,最高の
better,より良い
new,新しい
old,古い
young,若い
easy,簡単な
difficult,難しい
hard,難しい
important,重要な
special,特別な
different,異なる
same,同じ
similar,似ている
perfect,完璧な
beautiful,美しい
nice,良い
pretty,きれいな
amazing,驚くべき
wonderful,素晴らしい
fantastic,素晴らしい
terrible,ひどい
very,とても
really,本当に
quite,かなり
too,も
also,また
only,だけ
just,ちょうど
about,約
well,よく
fast,速く
quickly,速く
slowly,ゆっくり
together,一緒に
and,そして
but,しかし
or,または
because,なぜなら
if,もし
that,ということ
than,より
so,だから
in,の中に
on,の上に
at,で
to,に
from,から
for,のために
with,と
without,なしで
by,によって
of,の
after,の後に
before,の前に
during,の間に
until,まで
through,を通って
into,の中へ
out,外に
up,上って
down,下って
over,の上に
under,の下に
hello,こんにちは
hi,やあ
hey,やあ
goodbye,さようなら
bye,さようなら
please,お願いします
thanks,ありがとう
OK,大丈夫
yes,はい
yeah,うん
oh,ああ
